,LINK,RECEITA,TIPO,PREPARO,RENDIMENTO
0,https://www.tudogostoso.com.br/receita/16-mousse-de-maracuja-facil.html, Mousse de maracujá fácil ,Rápida,15.0,6
1,https://www.tudogostoso.com.br/receita/23-bolo-de-cenoura.html, Bolo de cenoura ,,40.0,8
2,https://www.tudogostoso.com.br/receita/26-ra-ao-molho-especial.html, Rã ao molho especial ,,70.0,3
3,https://www.tudogostoso.com.br/receita/33-chocolate-quente-especial.html, Chocolate quente especial ,Rápida,15.0,4
4,https://www.tudogostoso.com.br/receita/36-cocada-de-coco-verde.html, Cocada de Coco Verde ,,40.0,8
5,https://www.tudogostoso.com.br/receita/48-mexilhoes-ao-vinagrete.html, Mexilhões ao vinagrete ,,0.0,0
6,https://www.tudogostoso.com.br/receita/54-nega-maluca.html, Nega maluca ,Rápida,40.0,12
7,https://www.tudogostoso.com.br/receita/55-bife-a-milanesa.html, Bife à milanesa ,,40.0,6
8,https://www.tudogostoso.com.br/receita/79-bolo-de-fuba-da-vo-maria.html, Bolo de fubá da vó Maria ,,30.0,12
9,https://www.tudogostoso.com.br/receita/88-raspadinha-de-uva.html, Raspadinha de uva ,,15.0,6
10,https://www.tudogostoso.com.br/receita/101-arroz-de-forno-a-parmegiana.html, Arroz de forno à parmegiana ,,30.0,6
11,https://www.tudogostoso.com.br/receita/103-carne-arabe-de-bandeja.html, Carne Árabe de Bandeja ,,60.0,6
12,https://www.tudogostoso.com.br/receita/114-brigadeiro.html, Brigadeiro ,,25.0,30
13,https://www.tudogostoso.com.br/receita/115-posta-fria-fatiada.html, Posta Fria Fatiada ,,110.0,6
14,https://www.tudogostoso.com.br/receita/234-bolo-time-do-coracao.html, Bolo Time do Coração ,,300.0,20
15,https://www.tudogostoso.com.br/receita/237-mousse-de-nozes.html, mousse de nozes ,,150.0,0
16,https://www.tudogostoso.com.br/receita/238-lombo-trancado.html, lombo trançado ,,165.0,6
17,https://www.tudogostoso.com.br/receita/242-cenourinha-no-soufle.html, Cenourinha no souflé ,,60.0,6
18,https://www.tudogostoso.com.br/receita/243-pao-da-dona-sueli.html, Pão da Dona Sueli ,,60.0,12
19,https://www.tudogostoso.com.br/receita/244-caramelo-delicioso.html, Caramelo delicioso ,,20.0,0
20,https://www.tudogostoso.com.br/receita/248-carne-de-jacare.html, Carne de Jacaré ,,50.0,8
21,https://www.tudogostoso.com.br/receita/251-batido-de-cafe.html, Batido de Café ,,15.0,2
22,https://www.tudogostoso.com.br/receita/254-peixe-assado-com-saque.html, Peixe assado com saquê ,,20.0,4
23,https://www.tudogostoso.com.br/receita/259-petisco-rapidinho-do-riba.html, Petisco rapidinho do riba ,,15.0,30
24,https://www.tudogostoso.com.br/receita/261-frango-a-cacador.html, Frango à caçador ,,60.0,6
25,https://www.tudogostoso.com.br/receita/264-cri-cri-delicioso.html, Cri cri delicioso ,,20.0,16
26,https://www.tudogostoso.com.br/receita/289-arroz-salvador.html, Arroz Salvador ,,18.0,10
27,https://www.tudogostoso.com.br/receita/307-arroz-de-costela.html, Arroz de costela ,,50.0,6
28,https://www.tudogostoso.com.br/receita/320-molho-de-tomate-com-aliche.html, Molho de tomate com aliche ,,10.0,8
29,https://www.tudogostoso.com.br/receita/321-pudim-expresso.html, Pudim expresso ,,30.0,10
30,https://www.tudogostoso.com.br/receita/323-bolo-tia-iracema.html, Bolo tia Iracema ,,50.0,12
31,https://www.tudogostoso.com.br/receita/324-massa-de-pizza.html, Massa de pizza ,,15.0,5
32,https://www.tudogostoso.com.br/receita/330-mousse-de-nozes.html, Mousse de nozes ,,20.0,10
